"","Name","Sex","Count2015","Count2016","total"
"191","Abbigayle","F",17,24,41
"192","Abbott","M",45,58,103
"193","Abby","F",721,724,1445
"194","Abbygail","F",149,110,259
"195","Abbygale","F",19,21,40
"196","Abbygayle","F",5,16,21
"197","Abcde","F",16,12,28
"198","Abdalla","M",12,13,25
"199","Abdallah","M",56,60,116
"200","Abdalrahman","M",11,11,22
"201","Abdel","M",17,19,36
"202","Abdelaziz","M",7,5,12
"203","Abdelrahman","M",26,21,47
"204","Abdi","M",10,8,18
"205","Abdias","M",33,48,81
"206","Abdiaziz","M",16,15,31
"207","Abdiel","M",254,328,582
"208","Abdifatah","M",16,20,36
"209","Abdihakim","M",6,6,12
"210","Abdikadir","M",13,5,18
"211","Abdimalik","M",20,22,42
"212","Abdinasir","M",14,7,21
"213","Abdirahim","M",8,5,13
"214","Abdirahman","M",117,108,225
"215","Abdirashid","M",5,5,10
"216","Abdirizak","M",9,6,15
"217","Abdishakur","M",8,6,14
"218","Abdou","M",7,13,20
"219","Abdoul","M",27,23,50
"220","Abdoulaye","M",36,29,65
"221","Abdul","M",122,127,249
"222","Abdulahad","M",9,12,21
"223","Abdulahi","M",25,25,50
"224","Abdulaziz","M",99,87,186
"225","Abdulhadi","M",18,8,26
"226","Abdulhamid","M",5,9,14
"227","Abdulkadir","M",8,7,15
"228","Abdulkareem","M",7,10,17
"229","Abdulkarim","M",8,9,17
"230","Abdulkhaliq","M",5,8,13
"231","Abdulla","M",5,15,20
"232","Abdullah","M",394,406,800
"233","Abdullahi","M",83,98,181
"234","Abdulloh","M",6,6,12
"235","Abdulmalik","M",36,32,68
"236","Abdulqadir","M",6,6,12
"237","Abdulraheem","M",9,9,18
"238","Abdulrahman","M",138,154,292
"239","Abdulsamad","M",9,6,15
"240","Abdulwahab","M",15,6,21
"241","Abdur","M",6,10,16
"242","Abdurahman","M",18,19,37
"243","Abdurrahman","M",38,40,78
"244","Abe","M",80,60,140
"245","Abeeha","F",9,15,24
"246","Abeer","F",10,8,18
"247","Abeer","M",9,11,20
"248","Abeera","F",11,6,17
"249","Abel","F",10,6,16
